frame,time_sec,score,image_path
970,32.33,0.947,frames\video02\frame_970_32.33s.jpg
975,32.5,0.947,frames\video02\frame_975_32.5s.jpg
980,32.67,0.947,frames\video02\frame_980_32.67s.jpg
985,32.83,0.979,frames\video02\frame_985_32.83s.jpg
995,33.17,0.978,frames\video02\frame_995_33.17s.jpg
1000,33.33,0.978,frames\video02\frame_1000_33.33s.jpg
1005,33.5,0.975,frames\video02\frame_1005_33.5s.jpg
1010,33.67,0.976,frames\video02\frame_1010_33.67s.jpg
1015,33.83,0.98,frames\video02\frame_1015_33.83s.jpg
1020,34.0,0.978,frames\video02\frame_1020_34.0s.jpg
1025,34.17,0.978,frames\video02\frame_1025_34.17s.jpg
1030,34.33,0.973,frames\video02\frame_1030_34.33s.jpg
1035,34.5,0.976,frames\video02\frame_1035_34.5s.jpg
1045,34.83,0.976,frames\video02\frame_1045_34.83s.jpg
1055,35.17,0.97,frames\video02\frame_1055_35.17s.jpg
1060,35.33,0.974,frames\video02\frame_1060_35.33s.jpg
1065,35.5,0.973,frames\video02\frame_1065_35.5s.jpg
1070,35.67,0.973,frames\video02\frame_1070_35.67s.jpg
1075,35.83,0.973,frames\video02\frame_1075_35.83s.jpg
1080,36.0,0.973,frames\video02\frame_1080_36.0s.jpg
1085,36.17,0.973,frames\video02\frame_1085_36.17s.jpg
1090,36.33,0.973,frames\video02\frame_1090_36.33s.jpg
1095,36.5,0.975,frames\video02\frame_1095_36.5s.jpg
1100,36.67,0.973,frames\video02\frame_1100_36.67s.jpg
1105,36.83,0.968,frames\video02\frame_1105_36.83s.jpg
1110,37.0,0.969,frames\video02\frame_1110_37.0s.jpg
1115,37.17,0.968,frames\video02\frame_1115_37.17s.jpg
1120,37.33,0.967,frames\video02\frame_1120_37.33s.jpg
1125,37.5,0.968,frames\video02\frame_1125_37.5s.jpg
1130,37.67,0.968,frames\video02\frame_1130_37.67s.jpg
1135,37.83,0.953,frames\video02\frame_1135_37.83s.jpg
1140,38.0,0.952,frames\video02\frame_1140_38.0s.jpg
1145,38.17,0.952,frames\video02\frame_1145_38.17s.jpg
1150,38.33,0.952,frames\video02\frame_1150_38.33s.jpg
1155,38.5,0.952,frames\video02\frame_1155_38.5s.jpg
1160,38.67,0.952,frames\video02\frame_1160_38.67s.jpg
1165,38.83,0.952,frames\video02\frame_1165_38.83s.jpg
1170,39.0,0.952,frames\video02\frame_1170_39.0s.jpg
1175,39.17,0.952,frames\video02\frame_1175_39.17s.jpg
1180,39.33,0.952,frames\video02\frame_1180_39.33s.jpg
1185,39.5,0.952,frames\video02\frame_1185_39.5s.jpg
1190,39.67,0.952,frames\video02\frame_1190_39.67s.jpg
1195,39.83,0.952,frames\video02\frame_1195_39.83s.jpg
1200,40.0,0.951,frames\video02\frame_1200_40.0s.jpg
1205,40.17,0.951,frames\video02\frame_1205_40.17s.jpg
1210,40.33,0.951,frames\video02\frame_1210_40.33s.jpg
1215,40.5,0.951,frames\video02\frame_1215_40.5s.jpg
1220,40.67,0.951,frames\video02\frame_1220_40.67s.jpg
1225,40.83,0.951,frames\video02\frame_1225_40.83s.jpg
1230,41.0,0.95,frames\video02\frame_1230_41.0s.jpg
1235,41.17,0.95,frames\video02\frame_1235_41.17s.jpg
1240,41.33,0.95,frames\video02\frame_1240_41.33s.jpg
1245,41.5,0.95,frames\video02\frame_1245_41.5s.jpg
1250,41.67,0.95,frames\video02\frame_1250_41.67s.jpg
1255,41.83,0.95,frames\video02\frame_1255_41.83s.jpg
1260,42.0,0.95,frames\video02\frame_1260_42.0s.jpg
1265,42.17,0.95,frames\video02\frame_1265_42.17s.jpg
1270,42.33,0.95,frames\video02\frame_1270_42.33s.jpg
1275,42.5,0.95,frames\video02\frame_1275_42.5s.jpg
1280,42.67,0.949,frames\video02\frame_1280_42.67s.jpg
1285,42.83,0.949,frames\video02\frame_1285_42.83s.jpg
1290,43.0,0.948,frames\video02\frame_1290_43.0s.jpg
1295,43.17,0.948,frames\video02\frame_1295_43.17s.jpg
1300,43.33,0.948,frames\video02\frame_1300_43.33s.jpg
1305,43.5,0.948,frames\video02\frame_1305_43.5s.jpg
1310,43.67,0.948,frames\video02\frame_1310_43.67s.jpg
1315,43.83,0.948,frames\video02\frame_1315_43.83s.jpg
1320,44.0,0.947,frames\video02\frame_1320_44.0s.jpg
1325,44.17,0.947,frames\video02\frame_1325_44.17s.jpg
1330,44.33,0.947,frames\video02\frame_1330_44.33s.jpg
1335,44.5,0.947,frames\video02\frame_1335_44.5s.jpg
1340,44.67,0.947,frames\video02\frame_1340_44.67s.jpg
1345,44.83,0.948,frames\video02\frame_1345_44.83s.jpg
1350,45.0,0.947,frames\video02\frame_1350_45.0s.jpg
1355,45.17,0.947,frames\video02\frame_1355_45.17s.jpg
1360,45.33,0.947,frames\video02\frame_1360_45.33s.jpg
1365,45.5,0.947,frames\video02\frame_1365_45.5s.jpg
1370,45.67,0.947,frames\video02\frame_1370_45.67s.jpg
1375,45.83,0.948,frames\video02\frame_1375_45.83s.jpg
1380,46.0,0.948,frames\video02\frame_1380_46.0s.jpg
1385,46.17,0.948,frames\video02\frame_1385_46.17s.jpg
1390,46.33,0.948,frames\video02\frame_1390_46.33s.jpg
1395,46.5,0.948,frames\video02\frame_1395_46.5s.jpg
1400,46.67,0.948,frames\video02\frame_1400_46.67s.jpg
1405,46.83,0.948,frames\video02\frame_1405_46.83s.jpg
1410,47.0,0.946,frames\video02\frame_1410_47.0s.jpg
1415,47.17,0.946,frames\video02\frame_1415_47.17s.jpg
1420,47.33,0.946,frames\video02\frame_1420_47.33s.jpg
1425,47.5,0.946,frames\video02\frame_1425_47.5s.jpg
1430,47.67,0.946,frames\video02\frame_1430_47.67s.jpg
1435,47.83,0.946,frames\video02\frame_1435_47.83s.jpg
1480,49.33,0.993,frames\video02\frame_1480_49.33s.jpg
1485,49.5,0.993,frames\video02\frame_1485_49.5s.jpg
1530,51.0,0.991,frames\video02\frame_1530_51.0s.jpg
1535,51.17,0.99,frames\video02\frame_1535_51.17s.jpg
1545,51.5,0.99,frames\video02\frame_1545_51.5s.jpg
1605,53.5,0.988,frames\video02\frame_1605_53.5s.jpg
1610,53.67,0.988,frames\video02\frame_1610_53.67s.jpg
1615,53.83,0.989,frames\video02\frame_1615_53.83s.jpg
1680,56.0,0.988,frames\video02\frame_1680_56.0s.jpg
1685,56.17,0.988,frames\video02\frame_1685_56.17s.jpg
1690,56.33,0.987,frames\video02\frame_1690_56.33s.jpg
1695,56.5,0.988,frames\video02\frame_1695_56.5s.jpg
1715,57.17,0.988,frames\video02\frame_1715_57.17s.jpg
1720,57.33,0.988,frames\video02\frame_1720_57.33s.jpg
1725,57.5,0.988,frames\video02\frame_1725_57.5s.jpg
1730,57.67,0.989,frames\video02\frame_1730_57.67s.jpg
1745,58.17,0.988,frames\video02\frame_1745_58.17s.jpg
1755,58.5,0.989,frames\video02\frame_1755_58.5s.jpg
